Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ubiquinone and other terpenoid-quinone biosynthesis	2/7	0.044840339877207196	1.0	0	0	5.680204487361545	17.63503039494325	COQ3;COQ5
Electron transport reaction in mitochondria	2/10	0.08699414179728913	1.0	0	0	3.976143141153082	9.709401583530992	SDHA;SDHB
Free radical-induced apoptosis	1/10	0.40322169912947364	1.0	0	0	1.988071570576541	1.805703273136532	GPX1
Purine catabolism	1/10	0.40322169912947364	1.0	0	0	1.988071570576541	1.805703273136532	GPX1
Cardiac protection against reactive oxygen species	1/11	0.4332546092568507	1.0	0	0	1.807337791433219	1.5117110277435621	GPX1
Peptide hormone biosynthesis	1/12	0.46177753431154056	1.0	0	0	1.656726308813784	1.2801060823992314	INHA
Tricarboxylic acid (TCA) cycle	2/39	0.5906257606845635	1.0	0	0	1.019523882346944	0.5368534361048306	SDHA;SDHB
Pyruvate metabolism and citric acid (TCA) cycle	2/40	0.6045226226885705	1.0	0	0	0.9940357852882705	0.5003143000249605	SDHA;SDHB
Galactose metabolism	1/26	0.7388591099022471	1.0	0	0	0.764642911760208	0.23141766773861133	GALT
Pentose and glucuronate interconversions	1/29	0.776364206480358	1.0	0	0	0.6855419208884623	0.17353364684704203	XYLB
Ovarian infertility genes	1/30	0.7876293453364172	1.0	0	0	0.6626905235255136	0.15820256707974714	INHA
Mitotic prometaphase	1/43	0.8915618099792517	1.0	0	0	0.4623422257154746	0.0530678771649528	NUDC
Amino sugar and nucleotide sugar metabolism	1/45	0.9022187336503026	1.0	0	0	0.44179368235034244	0.04545981436441864	GALT
Polo-like kinase 1 (PLK1) pathway	1/46	0.9071481282125882	1.0	0	0	0.4321894718644654	0.042116658976378556	NUDC
Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins	2/81	0.9195130482088354	1.0	0	0	0.4908818692781582	0.04119041037257992	SDHA;SDHB
Glutathione metabolism	1/51	0.9283116110225306	1.0	0	0	0.389817955015008	0.02899770585125579	GPX1
Amyotrophic lateral sclerosis (ALS)	1/53	0.9353595685811247	1.0	0	0	0.3751078435050077	0.0250663034218602	GPX1
Arachidonic acid metabolism	1/58	0.9500973772220459	1.0	0	0	0.34277096044423117	0.017546718756961895	GPX1
Electron transport chain	2/105	0.9712050618647554	1.0	0	0	0.3786802991574364	0.011064147200988042	SDHA;SDHB
Nucleotide metabolism	1/70	0.9731899236889887	1.0	0	0	0.28401022436807727	0.007718268082654023	GPX1
Glycolysis and gluconeogenesis	1/75	0.9793068832717831	1.0	0	0	0.2650762094102055	0.0055428017263948245	GALM
Tricarboxylic acid (TCA) cycle and respiratory electron transport	2/117	0.9830459798560347	1.0	0	0	0.33984129411564806	0.005811077092085696	SDHA;SDHB
Parkinson's disease	2/131	0.9909541250506928	1.0	0	0	0.3035223771872581	0.0027581191620067165	SDHA;SDHB
Oxidative phosphorylation	2/136	0.9927886950681692	1.0	0	0	0.292363466261256	0.0021159607280460714	SDHA;SDHB
M phase pathway	1/96	0.9930307825728522	1.0	0	0	0.207090788601723	0.001448313421057023	NUDC
Huntington's disease	3/184	0.9957620111661031	1.0	0	0	0.324142103898349	0.00137662975247341	GPX1;SDHA;SDHB
Alzheimer's disease	2/169	0.9984228760407023	1.0	0	0	0.235274742080064	3.7135034254632545E-4	SDHA;SDHB
TNF-alpha effects on cytokine activity, cell motility, and apoptosis	1/135	0.9990773363490414	1.0	0	0	0.1472645607834475	1.3593837965835223E-4	GPX1
p53 signaling pathway	1/139	0.9992499614202	1.0	0	0	0.143026731696154	1.0731581724924004E-4	GPX1
Purine metabolism	1/164	0.9997933762957025	1.0	0	0	0.12122387625466713	2.5050314444552386E-5	GPX1
Amino acid metabolism	1/195	0.9999562348544375	1.0	0	0	0.10195238823469441	4.462058753571523E-6	INHA
DNA replication	1/207	0.9999749991848841	1.0	0	0	0.09604210485877009	2.401160922532786E-6	NUDC
Carbohydrate metabolism	1/235	0.9999914799550319	1.0	0	0	0.08459879023729962	7.207885676482344E-7	GALT
Metabolism	8/1615	0.99999375593447	1.0	0	0	0.09848032547747572	6.149195254939468E-7	COQ3;GALT;GPX1;SDHA;INHA;SDHB;XYLB;COQ5
Cell cycle	1/453	0.9999956366520503	1.0	0	0	0.04388678963745123	1.9149375136212165E-7	NUDC
