Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ubiquinone and other terpenoid-quinone biosynthesis	1/7	0.23644592374127354	1.0	0	0	3.7792894935752077	5.449870557263165	COQ3
MAP kinase inactivation of SMRT corepressor	1/14	0.4170414015252244	1.0	0	0	1.8896447467876039	1.6526261864673788	THRB
RXR/VDR pathway	1/26	0.6330366884436127	1.0	0	0	1.0175010175010175	0.46522883485042205	THRB
Galactose metabolism	1/26	0.6330366884436127	1.0	0	0	1.0175010175010175	0.46522883485042205	GALT
Nuclear receptors	1/38	0.7690675992470023	1.0	0	0	0.6961849067112225	0.18280173207130668	THRB
Mitotic prometaphase	1/43	0.8096112463800509	1.0	0	0	0.6152331733727082	0.12993791636871646	NUDC
Amino sugar and nucleotide sugar metabolism	1/45	0.8237626682720958	1.0	0	0	0.5878894767783657	0.11397578747863522	GALT
Polo-like kinase 1 (PLK1) pathway	1/46	0.8304394003468677	1.0	0	0	0.5751092707614447	0.10685548669479386	NUDC
Nuclear receptor transcription pathway	1/51	0.8602192427464929	1.0	0	0	0.5187260089220873	0.07810353190083684	THRB
Glycolysis and gluconeogenesis	1/75	0.9447233949691838	1.0	0	0	0.35273368606701944	0.020057530183706315	GALM
M phase pathway	1/96	0.9754751415725657	1.0	0	0	0.2755731922398589	0.006842648257989473	NUDC
DNA replication	1/207	0.99966768715761	1.0	0	0	0.12780206016920992	4.2477324149258555E-5	NUDC
Carbohydrate metabolism	1/235	0.999886255996998	1.0	0	0	0.11257458065968705	1.2805411723707543E-5	GALT
Neuroactive ligand-receptor interaction	1/272	0.9999705772708796	1.0	0	0	0.09726112667289137	2.861729884202545E-6	THRB
Metabolism	2/1615	0.9999942094513412	1.0	0	0	0.03276164266876341	1.8970843527387716E-7	COQ3;GALT
Gene expression	1/968	0.9999949621211648	1.0	0	0	0.02732957278411824	1.3768342312099728E-7	THRB
Generic transcription pathway	1/377	0.9999958274430861	1.0	0	0	0.07017248396558741	2.9279929399552826E-7	THRB
Cell cycle	1/453	0.9999959926682936	1.0	0	0	0.05839961689851315	2.3402710534895501E-7	NUDC
