Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Electron transport reaction in mitochondria	2/10	0.01293645578975637	1.0	0	0	11.235955056179776	48.85062834962719	SDHA;SDHB
Ubiquinone and other terpenoid-quinone biosynthesis	1/7	0.1181567211771225	1.0	0	0	8.025682182985554	17.140797673778522	COQ5
Tricarboxylic acid (TCA) cycle	2/39	0.1527107660842803	1.0	0	0	2.881014116969173	5.414029283878568	SDHA;SDHB
Pyruvate metabolism and citric acid (TCA) cycle	2/40	0.15895783425776722	1.0	0	0	2.808988764044944	5.16605703730128	SDHA;SDHB
Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins	2/81	0.42415688414639896	1.0	0	0	1.3871549452073797	1.189696049948223	SDHA;SDHB
Electron transport chain	2/105	0.5602784543214667	1.0	0	0	1.0700909577314073	0.6199265692626582	SDHA;SDHB
Tricarboxylic acid (TCA) cycle and respiratory electron transport	2/117	0.6192290645124947	1.0	0	0	0.9603380389897245	0.4602708335696177	SDHA;SDHB
Parkinson's disease	2/131	0.6801028629261197	1.0	0	0	0.8577064928381508	0.33065547923748867	SDHA;SDHB
Oxidative phosphorylation	2/136	0.6998365616324255	1.0	0	0	0.8261731658955717	0.2948681878572952	SDHA;SDHB
Alzheimer's disease	2/169	0.8059987119354759	1.0	0	0	0.6648494116082707	0.14339015661972526	SDHA;SDHB
Huntington's disease	2/184	0.842166266776344	1.0	0	0	0.6106497313141183	0.10489607825691927	SDHA;SDHB
Metabolism	3/1615	0.9999953417256708	1.0	0	0	0.10435871569207221	4.861326586031349E-7	SDHA;SDHB;COQ5
