Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ubiquinone and other terpenoid-quinone biosynthesis	2/7	0.054256529179204094	1.0	0	0	5.115743701240568	14.907440543648844	COQ3;COQ5
Electron transport reaction in mitochondria	2/10	0.1041276119458713	1.0	0	0	3.581020590868398	8.100763094343765	SDHA;SDHB
Free radical-induced apoptosis	1/10	0.4372019129522649	1.0	0	0	1.790510295434199	1.4813968616413409	GPX1
Purine catabolism	1/10	0.4372019129522649	1.0	0	0	1.790510295434199	1.4813968616413409	GPX1
Cardiac protection against reactive oxygen species	1/11	0.46864984837865564	1.0	0	0	1.627736632212908	1.2336605865021273	GPX1
Peptide hormone biosynthesis	1/12	0.4983420222270044	1.0	0	0	1.4920919128618322	1.0391952343635202	INHA
Tricarboxylic acid (TCA) cycle	2/39	0.648689318013476	1.0	0	0	0.9182104079149738	0.3974027368708724	SDHA;SDHB
Pyruvate metabolism and citric acid (TCA) cycle	2/40	0.662399670993309	1.0	0	0	0.8952551477170995	0.3687432162936935	SDHA;SDHB
Pentose phosphate pathway	1/27	0.7883307247009159	1.0	0	0	0.6631519612719254	0.1577224548407787	RBKS
Pentose and glucuronate interconversions	1/29	0.811344506344315	1.0	0	0	0.617417343253172	0.12907882754019323	XYLB
Ovarian infertility genes	1/30	0.8218961270472213	1.0	0	0	0.5968367651447329	0.11706431395609082	INHA
Nuclear signaling by ErbB4	1/40	0.899851907207802	1.0	0	0	0.44762757385854973	0.04723593408421929	CSN2
Mitotic prometaphase	1/43	0.9157424385509071	1.0	0	0	0.4163977431242323	0.036651385341954154	NUDC
Polo-like kinase 1 (PLK1) pathway	1/46	0.9291134512185468	1.0	0	0	0.3892413685726519	0.02861874810367435	NUDC
Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins	2/81	0.9452382380455986	1.0	0	0	0.44210130751461696	0.02489838500801268	SDHA;SDHB
Malaria	1/51	0.9468548131820859	1.0	0	0	0.351080450085137	0.01917233132280916	HBD
Glutathione metabolism	1/51	0.9468548131820859	1.0	0	0	0.351080450085137	0.01917233132280916	GPX1
Signaling events mediated by PTP1B	1/52	0.949830442687721	1.0	0	0	0.3443289029681152	0.017723225569380233	CSN2
Vitamin B12 metabolism	1/52	0.949830442687721	1.0	0	0	0.3443289029681152	0.017723225569380233	CRP
Amyotrophic lateral sclerosis (ALS)	1/53	0.9526395981726089	1.0	0	0	0.33783213121399974	0.016391149797754904	GPX1
Arachidonic acid metabolism	1/58	0.9644963684022042	1.0	0	0	0.308708671626586	0.0111595751885081	GPX1
Selenium pathway	1/60	0.9683621201655022	1.0	0	0	0.29841838257236647	0.009593903485561979	CRP
Folate metabolism	1/63	0.973386593681122	1.0	0	0	0.2842079834022538	0.007666213170078342	CRP
Nucleotide metabolism	1/70	0.9822249369464002	1.0	0	0	0.2557871850620284	0.004587527006274338	GPX1
Electron transport chain	2/105	0.9829234441758774	1.0	0	0	0.3410495800827046	0.005874252171427643	SDHA;SDHB
Interleukin-6 signaling pathway	1/71	0.9832210253653028	1.0	0	0	0.25218454865270407	0.004267299565466575	CRP
Glycolysis and gluconeogenesis	1/75	0.9866779208479073	1.0	0	0	0.23873470605789318	0.0032018177576653498	GALM
Complement cascade	1/77	0.9881294935495867	1.0	0	0	0.23253380460184403	0.0027768078868436554	CRP
Mitochondrial pathway of apoptosis: caspases	1/77	0.9881294935495867	1.0	0	0	0.23253380460184403	0.0027768078868436554	NAIP
Tricarboxylic acid (TCA) cycle and respiratory electron transport	2/117	0.9906181820772403	1.0	0	0	0.30607013597165794	0.0028850490510643734	SDHA;SDHB
Regular glucocorticoid receptor pathway	1/82	0.9911039761784776	1.0	0	0	0.21835491407734134	0.0019511823248847084	CSN2
NOD signaling pathway	1/85	0.9925179316893779	1.0	0	0	0.21064827005108222	0.0015820105093840716	NAIP
Signaling by ERBB4	1/93	0.9952845099005928	1.0	0	0	0.19252798875636548	9.100110892067447E-4	CSN2
Parkinson's disease	2/131	0.9953839044422149	1.0	0	0	0.2733603504479693	0.0012647789206161378	SDHA;SDHB
M phase pathway	1/96	0.9960341774033077	1.0	0	0	0.18651148910772902	7.411420703368127E-4	NUDC
Oxidative phosphorylation	2/136	0.9964251537920645	1.0	0	0	0.26331033756385275	9.429804728701254E-4	SDHA;SDHB
Leptin influence on immune response	1/110	0.9982321775426898	1.0	0	0	0.1627736632212908	2.880095872829889E-4	CRP
