Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ubiquinone and other terpenoid-quinone biosynthesis	2/7	0.04091448654564338	1.0	0	0	5.971040453799074	19.085063946113475	COQ3;COQ5
Chylomicron-mediated lipid transport	1/17	0.5656462742747548	1.0	0	0	1.2293318581351036	0.7004565163904262	LIPC
Nitrogen metabolism	1/23	0.6764447813935672	1.0	0	0	0.9086365907955114	0.3551900946426828	AMT
Triacylglyceride biosynthesis	1/24	0.6919446592375504	1.0	0	0	0.8707767328456983	0.32066292124911705	LIPC
Galactose metabolism	1/26	0.7207545233658695	1.0	0	0	0.8037939072421832	0.26320767347330126	GALT
Lipoprotein metabolism	1/29	0.7590016323522008	1.0	0	0	0.7206428133895435	0.19871822932811498	LIPC
Statin pathway	1/29	0.7590016323522008	1.0	0	0	0.7206428133895435	0.19871822932811498	LIPC
One-carbon metabolism	1/31	0.7815456790723743	1.0	0	0	0.6741497286547342	0.166165557906289	AMT
Glycine, serine and threonine metabolism	1/32	0.7920148725958	1.0	0	0	0.6530825496342738	0.15228259457548013	AMT
Fatty acid beta oxidation	1/34	0.8114735415195792	1.0	0	0	0.6146659290675518	0.12840586205121926	LIPC
Mitotic prometaphase	1/43	0.8788428995123624	1.0	0	0	0.48601492065806423	0.06276840108380728	NUDC
Amino sugar and nucleotide sugar metabolism	1/45	0.8901841245926677	1.0	0	0	0.4644142575177058	0.054023896940994416	GALT
Polo-like kinase 1 (PLK1) pathway	1/46	0.8954505762581885	1.0	0	0	0.4543182953977557	0.05016957440791685	NUDC
Presenilin action in Notch and Wnt signaling	1/48	0.9052386029512687	1.0	0	0	0.43538836642284917	0.043345837844726294	AES
Lipid digestion, mobilization, and transport	1/48	0.9052386029512687	1.0	0	0	0.43538836642284917	0.043345837844726294	LIPC
Activation of chaperones by IRE1 alpha	1/48	0.9052386029512687	1.0	0	0	0.43538836642284917	0.043345837844726294	SERP1
Glycerolipid metabolism	1/49	0.9097837539144646	1.0	0	0	0.42650288955707677	0.0403251405418629	LIPC
Mitochondrial protein import	1/52	0.9221536540536772	1.0	0	0	0.4018969536210916	0.03257110213165133	LDHD
Pyruvate metabolism	1/52	0.9221536540536772	1.0	0	0	0.4018969536210916	0.03257110213165133	LDHD
Unfolded protein response	1/79	0.9793748978664806	1.0	0	0	0.2645397669404653	0.005513212479992084	SERP1
Nuclear beta-catenin signaling and target gene transcription regulation	1/80	0.9803656079215681	1.0	0	0	0.26123301985370956	0.005180174394683354	AES
Androgen receptor signaling, proteolysis, and transcription regulation	1/88	0.9867579716032849	1.0	0	0	0.2374845635033723	0.0031657846077887833	AES
M phase pathway	1/96	0.9910703332275524	1.0	0	0	0.21769418321142459	0.001952667884711365	NUDC
Diabetes pathways	1/137	0.9988157631617305	1.0	0	0	0.1525448291116552	1.8075625636747222E-4	SERP1
DNA replication	1/207	0.9999596881851102	1.0	0	0	0.10095962119950126	4.069947595180594E-6	NUDC
Carbohydrate metabolism	1/235	0.9999873260816251	1.0	0	0	0.08893038973743303	1.1271036430046754E-6	GALT
Metabolism	5/1615	0.9999938359370756	1.0	0	0	0.06470167674395283	3.988264359620047E-7	COQ3;LIPC;GALT;AMT;COQ5
Interleukin-2 signaling pathway	1/847	0.9999948118969775	1.0	0	0	0.02467372088346725	1.2801013795761534E-7	ADD2
Disease	1/674	0.9999951446892013	1.0	0	0	0.03100688662952042	1.505484369678221E-7	SERP1
Lipid and lipoprotein metabolism	1/489	0.9999955979270201	1.0	0	0	0.04273750836052508	1.881340448729327E-7	LIPC
Cell cycle	1/453	0.9999957033821235	1.0	0	0	0.0461338666408317	1.9822002195861192E-7	NUDC
Protein metabolism	1/442	0.9999957369052835	1.0	0	0	0.047281994543657835	2.0156805077496862E-7	LDHD
