Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ubiquinone and other terpenoid-quinone biosynthesis	1/7	0.327278111685727	1.0	0	0	2.5950434669780718	2.898520760603582	COQ5
Free radical-induced apoptosis	1/10	0.43241383452730875	1.0	0	0	1.8165304268846503	1.5229286085102587	GPX1
Purine catabolism	1/10	0.43241383452730875	1.0	0	0	1.8165304268846503	1.5229286085102587	GPX1
Cardiac protection against reactive oxygen species	1/11	0.4636750228365865	1.0	0	0	1.651391297167864	1.2692120451746498	GPX1
Peptide hormone biosynthesis	1/12	0.4932158985188745	1.0	0	0	1.5137753557372085	1.0699489445530868	INHA
Galactose metabolism	1/26	0.7707971589761815	1.0	0	0	0.6986655488017885	0.18188362206429548	GALT
Ovarian infertility genes	1/30	0.8173091890628292	1.0	0	0	0.6055101422948834	0.12215429084396054	INHA
Mitotic prometaphase	1/43	0.9126137871759142	1.0	0	0	0.42244893648480236	0.03862978815229266	NUDC
Amino sugar and nucleotide sugar metabolism	1/45	0.9219897946402702	1.0	0	0	0.40367342819658897	0.03278680965049246	GALT
Polo-like kinase 1 (PLK1) pathway	1/46	0.9262938327687786	1.0	0	0	0.39489791888796744	0.030234877646502664	NUDC
Glutathione metabolism	1/51	0.9445058090618776	1.0	0	0	0.3561824366440491	0.020335681163247476	GPX1
Amyotrophic lateral sclerosis (ALS)	1/53	0.9504622239701165	1.0	0	0	0.3427415899782359	0.017413624378483886	GPX1
Arachidonic acid metabolism	1/58	0.9627060835243594	1.0	0	0	0.31319490118700866	0.01190363712815327	GPX1
Nucleotide metabolism	1/70	0.9811373304196505	1.0	0	0	0.2595043466978072	0.004941699488878705	GPX1
Glycolysis and gluconeogenesis	1/75	0.9858026060045272	1.0	0	0	0.24220405691795338	0.0034633100021842843	GALM
M phase pathway	1/96	0.9956975985066696	1.0	0	0	0.18922191946715106	8.158650195568541E-4	NUDC
TNF-alpha effects on cytokine activity, cell motility, and apoptosis	1/135	0.9995307478517349	1.0	0	0	0.134557809398863	6.315636041434103E-5	GPX1
p53 signaling pathway	1/139	0.9996258210340996	1.0	0	0	0.13068564222191728	4.890896938917544E-5	GPX1
Purine metabolism	1/164	0.9999077077417152	1.0	0	0	0.11076405041979576	1.0223136115428135E-5	GPX1
Huntington's disease	1/184	0.9999682692742323	1.0	0	0	0.09872447972199186	3.1326490934924908E-6	GPX1
Amino acid metabolism	1/195	0.9999814705029011	1.0	0	0	0.09315540650690514	1.7261388269087769E-6	INHA
DNA replication	1/207	0.9999889247346663	1.0	0	0	0.08775509308621499	9.719163224412096E-7	NUDC
Metabolism	5/1615	0.9999936106776978	1.0	0	0	0.05623933210169196	3.5933236680657186E-7	GALT;GPX1;INHA;LIAS;COQ5
Carbohydrate metabolism	1/235	0.9999948587560832	1.0	0	0	0.07729916710147448	3.974148942398421E-7	GALT
Cell cycle	1/453	0.9999955155099695	1.0	0	0	0.04010000942350221	1.7982849570422408E-7	NUDC
